S.N.,Commodity/Districts,Taplejung,,,Sankhuwasabha,,,Solukhumbu,,,Panchthar,,,Ilam,,,Terhathum,,,Dhankuta,,,Bhojpur,,,Khotang,,,Okhaldhunga,,,Udayapur,,,Jhapa,,,Morang,,,Sunsari,,,Province 1,,,Saptari,,,Siraha,,,Dhanusha,,,Mohattari,,,Sarlahi,,,Rautahat,,,Bara,,,Parsa,,,Province 2,,,Dolakha,,,Sindhupalchok,,,Rasuwa,,,Ramechhap,,,Sindhuli,,,Kavrepalanchowk,,,Bhaktapur,,,Lalitpur,,,Kathmandu,,,Nuwakot,,,Dhading,,,Makawanpur,,,Chitwan,,,Province 3,,,Manang,,,Mustang,,,Gorkha,,,Lamjung,,,Tanahun,,,Kaski,,,Parbat,,,Syangja,,,Myagdi,,,Baglung,,,Nawalpur,,,Province Gandaki,,,Arghakhanchi,,,Dang,,,Banke,,,Bardiya,,,Rukum,,,Gulmi,,,Kapilbastu,,,Parasi,,,Palpa,,,Pyuthan,,,Rolpa,,,Rupandehi,,,Province 5,,,Dolpa,,,Mugu,,,Humla,,,Jumla,,,Kalikot,,,Salyan,,,Rukum,,,Jajarkot,,,Dailekh,,,Surkhet,,,Province Karnali,,,Bajura,,,Bajhang,,,Darchula,,,Achham,,,Doti,,,Baitadi,,,Dadeldhura,,,Kailali,,,Kanchanpur,,,Province Sudurpachim,,,NEPAL,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
1,Cauliflower,  76 ,  998 ,  13 ,  197 ,"  1,782 ",  9 ,  50 ,  758 ,  15 ,  254 ,"  3,069 ",  12 ,  398 ,"  6,712 ",  17 ,  183 ,"  2,833 ",  15 ,  591 ,"  11,509 ",  19 ,  50 ,  455 ,  9 ,"  1,156 ","  19,746 ",  17 ,  216 ,"  2,932 ",  14 ,  171 ,"  2,078 ",  12 ,"  2,082 ","  38,715 ",  19 ,  854 ,"  12,878 ",  15 ,  905 ,"  11,363 ",  13 ,"  7,184 ","  115,825 ",  16 ,"  2,372 ","  35,754 ",  15 ,"  1,156 ","  17,423 ",  15 ,  966 ,"  10,262 ",  11 ,"  1,584 ","  19,465 ",  12 ,"  2,593 ","  44,038 ",  17 ,  930 ,"  9,151 ",  10 ,"  2,397 ","  52,995 ",  22 ,  563 ,"  1,414 ",  3 ,"  12,560 ","  190,500 ",  15 ,  322 ,"  3,434 ",  11 ,  790 ,"  11,908 ",  15 ,  60 ,  633 ,  11 ,  93 ,"  1,104 ",  12 ,  263 ,"  2,646 ",  10 ,"  1,236 ","  19,256 ",  16 ,  239 ,"  4,908 ",  21 ,  623 ,"  7,141 ",  11 ,  352 ,"  5,656 ",  16 ,  400 ,"  5,241 ",  13 ,  501 ,"  7,207 ",  14 ,  571 ,"  11,531 ",  20 ,  433 ,"  5,224 ",  12 ,"  5,883 ","  85,888 ",  15 ,  30 ,  377 ,  12 ,  28 ,  363 ,  13 ,  251 ,"  2,702 ",  11 ,  219 ,"  2,323 ",  11 ,  389 ,"  4,046 ",  10 ,  253 ,"  3,300 ",  13 ,  106 ,"  1,322 ",  13 ,  201 ,"  3,030 ",  15 ,  86 ,  944 ,  11 ,  155 ,"  4,031 ",  26 ,  427 ,"  5,151 ",  12 ,"  2,145 ","  27,587 ",  13 ,  193 ,"  2,861 ",  15 ,  382 ,"  5,757 ",  15 ,"  1,106 ","  13,332 ",  12 ,  603 ,"  10,807 ",  18 ,  117 ,"  1,533 ",  13 ,  127 ,"  1,463 ",  12 ,  226 ,"  4,984 ",  22 ,  427 ,"  5,151 ",  12 ,  441 ,"  8,228 ",  19 ,  166 ,"  2,000 ",  12 ,  161 ,"  1,459 ",  9 ,  961 ,"  23,186 ",  24 ,"  4,909 ","  80,762 ",  16 ,  30 ,  364 ,  12 ,  2 ,  11 ,  8 ,  16 ,  162 ,  10 ,  78 ,  473 ,  6 ,  12 ,  277 ,  23 ,  156 ,"  1,698 ",  11 ,  117 ,"  1,533 ",  13 ,  133 ,"  1,267 ",  10 ,  326 ,"  3,777 ",  12 ,  161 ,"  2,747 ",  17 ,"  1,030 ","  12,308 ",  12 ,  50 ,  530 ,  11 ,  65 ,  788 ,  12 ,  108 ,"  1,242 ",  12 ,  40 ,  315 ,  8 ,  71 ,  854 ,  12 ,  108 ,"  1,838 ",  17 ,  236 ,"  3,086 ",  13 ,  618 ,"  9,317 ",  15 ,  377 ,"  4,166 ",  11 ,"  1,673 ","  22,137 ",  13 ,"  35,383 ","  535,008 ",  15 
2,Cabbage,  72 ,"  1,018 ",  14 ,  171 ,"  1,889 ",  11 ,  60 ,"  1,212 ",  20 ,  188 ,"  2,249 ",  12 ,  731 ,"  12,128 ",  17 ,  568 ,"  10,842 ",  19 ,"  1,489 ","  39,247 ",  26 ,  40 ,  505 ,  13 ,"  1,005 ","  20,200 ",  20 ,  141 ,"  2,121 ",  15 ,  146 ,"  1,816 ",  12 ,"  1,522 ","  30,735 ",  20 ,  729 ,"  10,984 ",  15 ,  804 ,"  11,312 ",  14 ,"  7,665 ","  146,258 ",  19 ,"  2,020 ","  32,482 ",  16 ,  955 ,"  14,488 ",  15 ,  536 ,"  6,579 ",  12 ,  861 ,"  11,599 ",  13 ,"  1,608 ","  28,118 ",  17 ,  412 ,"  4,058 ",  10 ,  359 ,"  12,259 ",  34 ,  85 ,"  2,232 ",  26 ,"  6,837 ","  111,816 ",  16 ,  689 ,"  11,257 ",  16 ,  425 ,"  6,408 ",  15 ,  55 ,  707 ,  13 ,  81 ,  941 ,  12 ,  211 ,"  1,485 ",  7 ,  678 ,"  11,590 ",  17 ,  222 ,"  5,291 ",  24 ,  724 ,"  8,141 ",  11 ,  179 ,"  4,278 ",  24 ,  420 ,"  5,515 ",  13 ,  568 ,"  8,360 ",  15 ,  549 ,"  11,535 ",  21 ,  337 ,"  4,737 ",  14 ,"  5,138 ","  80,246 ",  16 ,  46 ,  710 ,  16 ,  37 ,  769 ,  21 ,  250 ,"  2,936 ",  12 ,  201 ,"  2,677 ",  13 ,  405 ,"  4,315 ",  11 ,  202 ,"  3,443 ",  17 ,  115 ,"  1,727 ",  15 ,  261 ,"  4,707 ",  18 ,  107 ,"  1,303 ",  12 ,  141 ,"  3,451 ",  24 ,  367 ,"  4,424 ",  12 ,"  2,130 ","  30,459 ",  14 ,  258 ,"  3,873 ",  15 ,  452 ,"  8,181 ",  18 ,"  1,055 ","  14,847 ",  14 ,  553 ,"  10,637 ",  19 ,  91 ,"  1,269 ",  14 ,  116 ,"  1,522 ",  13 ,  251 ,"  5,616 ",  22 ,  367 ,"  4,424 ",  12 ,  354 ,"  7,237 ",  20 ,  136 ,"  1,841 ",  14 ,  173 ,"  1,536 ",  9 ,  770 ,"  19,705 ",  26 ,"  4,575 ","  80,687 ",  18 ,  20 ,  222 ,  11 ,  18 ,  145 ,  8 ,  15 ,  167 ,  11 ,  106 ,  690 ,  7 ,  16 ,  566 ,  35 ,  166 ,"  2,500 ",  15 ,  91 ,"  1,269 ",  14 ,  88 ,  800 ,  9 ,  270 ,"  3,111 ",  12 ,  141 ,"  2,293 ",  16 ,  931 ,"  11,761 ",  13 ,  65 ,  722 ,  11 ,  35 ,  495 ,  14 ,  116 ,"  1,742 ",  15 ,  49 ,  425 ,  9 ,  98 ,"  1,336 ",  14 ,  93 ,"  1,505 ",  16 ,  269 ,"  4,331 ",  16 ,  653 ,"  9,848 ",  15 ,  412 ,"  4,151 ",  10 ,"  1,792 ","  24,555 ",  14 ,"  29,069 ","  485,782 ",  17 
3,Broccoli,  3 ,  30 ,  10 ,  12 ,  61 ,  5 ,  5 ,  35 ,  7 ,  26 ,  308 ,  12 ,  39 ,  326 ,  8 ,  8 ,  81 ,  10 ,  20 ,  136 ,  7 ,  3 ,  5 ,  2 ,  151 ,  909 ,  6 ,  2 ,  10 ,  5 ,  7 ,  54 ,  8 ,  16 ,  103 ,  6 ,  201 ,"  3,030 ",  15 ,  30 ,  182 ,  6 ,  524 ,"  5,270 ",  10 ,  5 ,  40 ,  8 ,  80 ,"  1,058 ",  13 ,  7 ,  31 ,  4 ,  -   ,  -   ,,  20 ,  202 ,  10 ,  7 ,  69 ,  10 ,  25 ,  303 ,  12 ,  -   ,  -   ,,  145 ,"  1,704 ",  12 ,  9 ,  107 ,  12 ,  8 ,  85 ,  11 ,  -   ,  -   ,,  3 ,  30 ,  9 ,  60 ,  303 ,  5 ,  352 ,"  2,273 ",  6 ,  51 ,  514 ,  10 ,  10 ,  121 ,  12 ,  25 ,  328 ,  13 ,  5 ,  59 ,  13 ,  31 ,  236 ,  8 ,  20 ,  365 ,  18 ,  221 ,"  3,000 ",  14 ,  796 ,"  7,420 ",  9 ,  4 ,  29 ,  8 ,  -   ,  -   ,,  16 ,  178 ,  11 ,  50 ,  556 ,  11 ,  -   ,  -   ,,  32 ,  382 ,  12 ,  21 ,  163 ,  8 ,  13 ,  119 ,  9 ,  17 ,  158 ,  9 ,  19 ,  302 ,  15 ,  16 ,  187 ,  12 ,  189 ,"  2,073 ",  11 ,  16 ,  162 ,  10 ,  50 ,  758 ,  15 ,  40 ,  404 ,  10 ,  10 ,  172 ,  17 ,  1 ,  4 ,  9 ,  2 ,  13 ,  6 ,  11 ,  45 ,  4 ,  16 ,  187 ,  12 ,  5 ,  51 ,  10 ,  2 ,  15 ,  10 ,  12 ,  152 ,  13 ,  25 ,  177 ,  7 ,  190 ,"  2,138 ",  11 ,  4 ,  32 ,  8 ,  1 ,  1 ,  1 ,  1 ,  6 ,  6 ,  -   ,  -   ,,  1 ,  15 ,  15 ,  23 ,  209 ,  9 ,  1 ,  4 ,  9 ,  12 ,  61 ,  5 ,  -   ,  -   ,,  13 ,  167 ,  13 ,  56 ,  495 ,  9 ,  1 ,  8 ,  8 ,  1 ,  5 ,  5 ,  1 ,  9 ,  9 ,  1 ,  2 ,  2 ,  1 ,  5 ,  5 ,  3 ,  21 ,  7 ,  5 ,  56 ,  11 ,  52 ,  788 ,  15 ,  5 ,  45 ,  9 ,  70 ,  939 ,  13 ,"  1,969 ","  20,040 ",  10 
4,Tomato,  25 ,  505 ,  20 ,  111 ,"  1,000 ",  9 ,  25 ,  379 ,  15 ,  394 ,"  5,158 ",  13 ,  143 ,"  1,722 ",  12 ,  80 ,"  1,374 ",  17 ,"  1,465 ","  52,498 ",  36 ,  70 ,  606 ,  9 ,  618 ,"  6,212 ",  10 ,  146 ,"  1,406 ",  10 ,  96 ,"  1,071 ",  11 ,  513 ,"  11,435 ",  22 ,  829 ,"  29,164 ",  35 ,  452 ,"  5,227 ",  12 ,"  4,968 ","  117,756 ",  24 ,  658 ,"  11,161 ",  17 ,  121 ,"  1,830 ",  15 ,  379 ,"  4,957 ",  13 ,  427 ,"  4,829 ",  11 ,  980 ,"  13,393 ",  14 ,  578 ,"  5,691 ",  10 ,  357 ,"  16,135 ",  45 ,  27 ,  654 ,  24 ,"  3,527 ","  58,649 ",  17 ,  14 ,  230 ,  16 ,  688 ,"  9,686 ",  14 ,  60 ,  596 ,  10 ,  22 ,  307 ,  14 ,  181 ,"  1,454 ",  8 ,"  2,623 ","  47,533 ",  18 ,  176 ,"  4,569 ",  26 ,  181 ,"  4,666 ",  26 ,  211 ,"  20,453 ",  97 ,  113 ,"  1,483 ",  13 ,  775 ,"  13,900 ",  18 ,  130 ,"  2,965 ",  23 ,  632 ,"  9,212 ",  15 ,"  5,806 ","  117,054 ",  20 ,  4 ,  30 ,  9 ,  28 ,  494 ,  18 ,  127 ,"  1,832 ",  14 ,  171 ,"  2,447 ",  14 ,  138 ,"  1,591 ",  12 ,  397 ,"  6,184 ",  16 ,  25 ,  317 ,  13 ,  312 ,"  5,050 ",  16 ,  60 ,  823 ,  14 ,  155 ,"  4,110 ",  27 ,  122 ,"  1,841 ",  15 ,"  1,538 ","  24,720 ",  16 ,  53 ,  642 ,  12 ,"  1,005 ","  15,150 ",  15 ,  719 ,"  11,193 ",  16 ,  30 ,  606 ,  20 ,  57 ,  682 ,  12 ,  226 ,"  2,979 ",  13 ,  281 ,"  5,181 ",  18 ,  122 ,"  1,841 ",  15 ,  156 ,"  3,175 ",  20 ,  85 ,  859 ,  10 ,  334 ,"  3,262 ",  10 ,  467 ,"  12,211 ",  26 ,"  3,536 ","  57,781 ",  16 ,  30 ,  294 ,  10 ,  35 ,  293 ,  8 ,  15 ,  152 ,  10 ,  52 ,  315 ,  6 ,  28 ,  339 ,  12 ,  266 ,"  2,818 ",  11 ,  57 ,  682 ,  12 ,  36 ,  291 ,  8 ,  279 ,"  2,934 ",  11 ,  201 ,"  3,727 ",  19 ,"  1,000 ","  11,844 ",  12 ,  90 ,"  1,114 ",  12 ,  75 ,  945 ,  13 ,  55 ,  805 ,  15 ,  39 ,  331 ,  8 ,  126 ,"  1,704 ",  14 ,  83 ,"  1,490 ",  18 ,  171 ,"  2,747 ",  16 ,  452 ,"  7,575 ",  17 ,  515 ,"  6,205 ",  12 ,"  1,607 ","  22,917 ",  14 ,"  21,981 ","  410,721 ",  19 
5,Radish,  186 ,"  1,970 ",  11 ,  182 ,"  2,742 ",  15 ,  30 ,  455 ,  15 ,  186 ,"  2,163 ",  12 ,  181 ,"  3,732 ",  21 ,  141 ,"  2,404 ",  17 ,  574 ,"  10,006 ",  17 ,  235 ,"  1,648 ",  7 ,"  1,508 ","  19,695 ",  13 ,  161 ,"  2,295 ",  14 ,  171 ,"  3,916 ",  23 ,  482 ,"  10,714 ",  22 ,  523 ,"  7,878 ",  15 ,  402 ,  606 ,  2 ,"  4,961 ","  70,224 ",  14 ,  503 ,"  6,565 ",  13 ,  291 ,"  4,131 ",  14 ,  463 ,"  4,655 ",  10 ,  90 ,"  1,045 ",  12 ,  955 ,"  13,433 ",  14 ,  213 ,"  2,098 ",  10 ,  377 ,"  8,711 ",  23 ,  186 ,"  4,671 ",  25 ,"  3,078 ","  45,310 ",  15 ,  137 ,"  2,060 ",  15 ,  272 ,"  3,011 ",  11 ,  60 ,  642 ,  11 ,  93 ,"  1,190 ",  13 ,  66 ,  533 ,  8 ,  553 ,"  3,838 ",  7 ,  189 ,"  5,275 ",  28 ,  256 ,"  6,161 ",  24 ,  70 ,"  1,994 ",  28 ,  452 ,"  6,828 ",  15 ,  281 ,"  4,030 ",  14 ,  331 ,"  7,725 ",  23 ,  196 ,"  2,241 ",  11 ,"  2,957 ","  45,529 ",  15 ,  19 ,  314 ,  16 ,  5 ,  58 ,  11 ,  143 ,"  1,964 ",  14 ,  201 ,"  3,434 ",  17 ,  420 ,"  4,897 ",  12 ,  272 ,"  4,371 ",  16 ,  78 ,"  1,279 ",  16 ,  339 ,"  4,545 ",  13 ,  140 ,"  1,606 ",  11 ,  152 ,"  2,455 ",  16 ,  440 ,"  5,744 ",  13 ,"  2,208 ","  30,669 ",  14 ,  146 ,"  1,757 ",  12 ,  171 ,"  2,576 ",  15 ,  515 ,"  8,791 ",  17 ,  352 ,"  6,363 ",  18 ,  138 ,"  2,137 ",  15 ,  59 ,  503 ,  8 ,  312 ,"  4,565 ",  15 ,  440 ,"  5,744 ",  13 ,  242 ,"  3,414 ",  14 ,  163 ,"  2,454 ",  15 ,  95 ,  952 ,  10 ,  241 ,"  8,932 ",  37 ,"  2,873 ","  48,190 ",  17 ,  35 ,  420 ,  12 ,  29 ,  806 ,  28 ,  20 ,  307 ,  15 ,  26 ,  184 ,  7 ,  20 ,  283 ,  14 ,  136 ,"  1,636 ",  12 ,  138 ,"  2,137 ",  15 ,  14 ,  190 ,  13 ,  220 ,"  2,506 ",  11 ,  95 ,"  1,439 ",  15 ,  734 ,"  9,908 ",  14 ,  65 ,  657 ,  10 ,  101 ,"  1,212 ",  12 ,  113 ,"  1,244 ",  11 ,  50 ,  762 ,  15 ,  132 ,"  1,574 ",  12 ,  115 ,"  2,303 ",  20 ,  117 ,"  2,109 ",  18 ,  503 ,"  7,575 ",  15 ,  251 ,"  3,788 ",  15 ,"  1,445 ","  21,223 ",  15 ,"  18,256 ","  271,053 ",  15 
6,Broad Mustard Leaf,  96 ,"  1,164 ",  12 ,  119 ,"  1,430 ",  12 ,  10 ,  91 ,  9 ,  149 ,"  1,678 ",  11 ,  530 ,"  8,116 ",  15 ,  111 ,"  1,667 ",  15 ,  319 ,"  3,730 ",  12 ,  291 ,  303 ,  1 ,"  1,307 ","  13,130 ",  10 ,  122 ,"  1,222 ",  10 ,  90 ,"  1,703 ",  19 ,  219 ,"  2,885 ",  13 ,  176 ,  884 ,  5 ,  211 ,"  1,431 ",  7 ,"  3,749 ","  39,434 ",  11 ,  201 ,"  2,828 ",  14 ,  95 ,"  1,448 ",  15 ,  75 ,"  1,046 ",  14 ,  251 ,"  3,661 ",  15 ,  156 ,"  2,192 ",  14 ,  124 ,"  1,217 ",  10 ,  157 ,"  3,466 ",  22 ,  55 ,"  1,111 ",  20 ,"  1,114 ","  16,970 ",  15 ,  146 ,"  2,050 ",  14 ,  273 ,"  2,747 ",  10 ,  54 ,  627 ,  12 ,  94 ,"  1,216 ",  13 ,  16 ,  32 ,  2 ,  613 ,"  9,673 ",  16 ,  268 ,"  5,068 ",  19 ,  261 ,"  3,939 ",  15 ,  226 ,"  5,181 ",  23 ,  137 ,"  1,651 ",  12 ,  30 ,  341 ,  11 ,  152 ,"  3,203 ",  21 ,  176 ,"  2,298 ",  13 ,"  2,447 ","  38,027 ",  16 ,  28 ,  342 ,  12 ,  53 ,  573 ,  11 ,  314 ,"  3,101 ",  10 ,  181 ,"  1,591 ",  9 ,  422 ,"  5,090 ",  12 ,  97 ,"  1,072 ",  11 ,  59 ,"  1,057 ",  18 ,  339 ,"  4,545 ",  13 ,  117 ,"  1,242 ",  11 ,  158 ,"  2,047 ",  13 ,  188 ,"  1,964 ",  10 ,"  1,956 ","  22,625 ",  12 ,  206 ,"  1,656 ",  8 ,  126 ,"  1,010 ",  8 ,  704 ,"  8,484 ",  12 ,  251 ,"  4,343 ",  17 ,  141 ,"  1,758 ",  12 ,  66 ,  587 ,  9 ,  65 ,"  1,283 ",  20 ,  188 ,"  1,964 ",  10 ,  68 ,  919 ,  13 ,  35 ,  221 ,  6 ,  109 ,  981 ,  9 ,  72 ,"  1,457 ",  20 ,"  2,032 ","  24,662 ",  12 ,  36 ,  343 ,  9 ,  28 ,  778 ,  28 ,  7 ,  53 ,  8 ,  20 ,  101 ,  5 ,  18 ,  364 ,  20 ,  141 ,"  1,768 ",  13 ,  141 ,"  1,758 ",  12 ,  26 ,  162 ,  6 ,  97 ,  965 ,  10 ,  186 ,"  1,495 ",  8 ,  700 ,"  7,785 ",  11 ,  80 ,  687 ,  9 ,  45 ,  455 ,  10 ,  60 ,  636 ,  11 ,  42 ,"  1,082 ",  26 ,  35 ,  689 ,  20 ,  45 ,  455 ,  10 ,  67 ,  744 ,  11 ,  503 ,"  7,676 ",  15 ,  50 ,  253 ,  5 ,  929 ,"  12,676 ",  14 ,"  12,926 ","  162,179 ",  13 
